Parameter Code,Rank,Method Code,Table
88101,1,145,pm25
88101,2,118,pm25
88101,3,144,pm25
88101,4,143,pm25
88101,5,117,pm25
88101,6,116,pm25
88101,7,155,pm25
88101,8,142,pm25
88101,9,129,pm25
88101,10,153,pm25
88101,11,154,pm25
88101,12,135,pm25
88101,13,136,pm25
88101,14,128,pm25
88101,15,119,pm25
88101,16,120,pm25
88101,17,123,pm25
88101,18,177,pm25
88101,19,179,pm25
85101,1,127,pm10
85101,2,126,pm10
85101,3,098,pm10
85101,4,079,pm10
85101,5,125,pm10
85101,6,124,pm10
85101,7,900,pm10
85101,8,063,pm10
85101,9,064,pm10
85101,10,065,pm10
85101,11,162,pm10
85101,12,130,pm10
85101,13,131,pm10
85101,14,132,pm10
85101,15,141,pm10
85101,16,062,pm10
85101,17,773,pm10
85101,18,073,pm10
85101,19,071,pm10
44201,1,047,o3
44201,2,103,o3
44201,3,056,o3
44201,4,019,o3
44201,5,053,o3
44201,6,078,o3
44201,7,087,o3
44201,8,112,o3
44201,9,105,o3
44201,10,020,o3
42401,1,560,so2
42401,2,060,so2
42401,3,009,so2
42401,4,,so2
88305,1,847,ecoc.1
88305,2,843,ecoc.1
88305,3,853,ecoc.1
88305,4,873,ecoc.1
88305,5,833,ecoc.1
88305,6,823,ecoc.1
88305,7,813,ecoc.1
88307,1,847,ecoc.1
88307,2,843,ecoc.1
88307,3,853,ecoc.1
88307,4,873,ecoc.1
88307,5,833,ecoc.1
88307,6,823,ecoc.1
88307,7,813,ecoc.1
88320,1,859,ecoc.2
88320,2,857,ecoc.2
88320,3,855,ecoc.2
88320,4,877,ecoc.2
88320,5,829,ecoc.2
88320,6,838,ecoc.2
88320,7,837,ecoc.2
88320,8,815,ecoc.2
88320,9,825,ecoc.2
88320,10,809,ecoc.2
88320,11,805,ecoc.2
88321,1,859,ecoc.2
88321,2,857,ecoc.2
88321,3,855,ecoc.2
88321,4,877,ecoc.2
88321,5,829,ecoc.2
88321,6,838,ecoc.2
88321,7,837,ecoc.2
88321,8,815,ecoc.2
88321,9,825,ecoc.2
88321,10,809,ecoc.2
88321,11,805,ecoc.2
88355,,838,ecoc.3
88357,,838,ecoc.3
88355,,840,ecoc.3
88357,,840,ecoc.3
88370,,831,ecoc.4
88380,,831,ecoc.4
